"text","created","id"
"Redningsoppdrag, Sørfjorden. Ingen personer er saknet.",2013-10-30 09:32:30,"395483340720971777"
"Redningsoppdrag, Sørfjorden. Søket avsluttet, eldre fiskeskøyte som lå fortøyd i bøye, har sunket. Redningsflåten tilhørte fiskeskøyten.",2013-10-30 09:31:35,"395483109518368768"
"Funn av redningsflåte som flyter i sjø, Sørfjorden mlm Osterøy og Trengereid. Lys på. HRS har sendt redningsskøyte. Søk pågår.",2013-10-30 08:12:47,"395463279071330304"
"Follesevegen: Mistenkte kan være 40-50 år, 180-185 cm høy, sort jakke m/hette, muligens noe mørk i huden.",2013-10-30 06:31:55,"395437892513722368"
"Follesevegen: Ungdom slått ned av ukjent mannsperson. Tildelt en del slag/spark. Mist. løpt fra stedet mot Spar-butikken.",2013-10-30 06:31:04,"395437681426984960"
"Fanatorget: Den skadde er kjørt til akuttmottaket på Haukeland. Fant sted i fotgjengerfelt. Førerkortbeslag.",2013-10-30 06:23:49,"395435856774717440"
"Fanatorget: Politi og helse på stedet. Formentlig ikke alvorlig personskade.",2013-10-30 05:54:00,"395428350778281984"
"Fanatorget - Fotgjenger påkjørt. Nødetatene er på vei.",2013-10-30 05:33:40,"395423236944445440"
"FV561 v/ Ågotnes. Tilskadekommet  ifm. trafikkulykke 29.10 kl. 2104 er identifisert. Norsk mann, 27 år. .Alvorlig personskade, men stabil.",2013-10-30 04:01:35,"395400060562714624"
"Håkonsgaten v / utested..  Legemsbeskadigelse, person har fått slått ut tenner. Annen person har smerter etter slag.",2013-10-30 01:12:41,"395357557369233409"
"Ågotnes, en person påkjørt av en bil. Skal være slept med 100-200 meter. Vedkommende fraktet med luftambulansen til Haukeland.",2013-10-29 20:58:02,"395293471239462912"
"Nattlandsveien, politiet har pågrepet en mistenkt i saken. Han blir innbrakt til politikammeret.",2013-10-29 19:38:21,"395273420222394368"
"Rasmus Meyers Samlinger, falsk alarm.",2013-10-29 19:32:13,"395271874420035584"
"Melding om innbruddsalarm i Rasmus Meyers samlinger. Politiet på stedet.",2013-10-29 19:28:40,"395270983755366400"
"Nattlandsveien, politiet ser etter tre gjerningsmenn. .En av dem hadde med seg  en Rottweiler",2013-10-29 19:12:28,"395266904505348097"
"Nattlandsveien, politiet rykker ut til melding om mulig legemsbeskadigelse.",2013-10-29 19:07:43,"395265708440838144"
"Cafe Opera: en person er skadet og kjørt Haukeland Sykehus. Har kuttskader i ansiktet og i ryggen.",2013-10-29 12:50:23,"395170752044867585"
"Politiet leter etter 3 gjmenn, arabisk utseende, svarte jakker med hette. Går nordover på Nordnes. Ring 02800/112 ved observasjon.",2013-10-29 12:39:58,"395168130869112832"
"Flere personer ble sett løpende fra stedet. Ingen beskrivelse av gj. mann. Bevæpnet politi søker etter disse.",2013-10-29 12:33:47,"395166575017213953"
"Meldt om flere stykker som sloss utenfor Cafe Opera. En person er sannsynligvis stukket med kniv i ansiktet. Fremstår ikke alvorlig skadet.",2013-10-29 12:32:58,"395166366900035587"
"Olsvik skole: Trafikkuhell. 2 biler involvert. Begge førerne er uten av bilene.",2013-10-29 10:18:28,"395132521307848704"
"Johannes Brunsgate. Bilbrann, varebil i full fyr. Brannvesen og politi til stedet.",2013-10-29 01:39:18,"395001867865825280"
"Fleslandsveien: BKK  konstaterte at det gjelder teleledninger .Telenor er varslet om manglende telefon- og internettdekning i området.",2013-10-28 18:01:21,"394886621381668864"
"Fleslandsveien v/nr 46: Lastebil har kommet opp i ledningsnett og skadet en stolpe. Politi er på stedet.",2013-10-28 17:04:35,"394872334537879552"
"E16 ved Gullgruven i Åsane: Det er meldt om brann i en stasjonsvogn.",2013-10-28 15:06:58,"394842733061238784"
"Herøysundet i Kvinnherad kom politiet over en personbil som hadde kjørt i grøften. Kvinne f.-73 mist for kjøring i påvirket tilstand. Anm",2013-10-28 13:00:16,"394810848733958145"
"Løvstakktunnelen; stengt, taklys i tunnel revet ned.",2013-10-28 12:22:48,"394801420890681344"
"Fløyfjellstunnelen sørgående åpnet.",2013-10-28 08:38:33,"394744986362576896"
"Fløyfjellstunnelen sørg. Ingen personskade, små matrielle skader - regner med at tunnelen åpner snart.",2013-10-28 08:27:37,"394742235020795904"
"Trafikkulykke Fløyfjellstunnelen sørgående. Tunnelen stengt - nødetatene på vei.",2013-10-28 08:18:11,"394739862252707841"
"Begge felt åpne i Damsgårdstunnelen østgående.",2013-10-28 08:11:07,"394738084270452736"
"Damsgårdstunnelen østg er ett felt stengt pga lastebil med som har gått tom for drivstoff, samt flatt batteri. Skaper forsinkelser",2013-10-28 08:08:17,"394737369238093824"
"0502:  Fv. 567, mellom Fotlandsvåg og Lonevåg, Osterøy. Tre har falt ut i vegbanen og sperrer for all ferdsel. Personell på veg til stedet",2013-10-28 04:12:41,"394678077537538048"
"0447: Christies gt. Bergen: Mann vært innom 7-eleven og stjålet/truet til seg sigaretter. Ingen skadet. Politi leter etter mistenkte.",2013-10-28 04:09:42,"394677328803938304"
"Fløyfjellstunnelen nordgående: Mann med trillekoffert går no inn i tunnelen. VTS stenger tunnelen. Vær obs. Politi på veg.",2013-10-27 20:36:30,"394563277859987457"
"Klauvsteien/Fyllingsdalen: Ungdomar med sterkt laserlys er plagsame mot bebuarar i Klauvsteien. Lyser også mot luftfartyg. Politi på staden.",2013-10-27 20:16:05,"394558139191672832"
"Ibsensgate blir stengt fra Haukelandsveien mens åstedsarbeidet pågår i forb med trafikkulykke",2013-10-27 19:07:42,"394540930599895040"
"Ibsensgate.  Trafikkulykke.  Bil kjørt i mur. En person i bilen.  Hentet av ambulanse. Kjørt Haukeland sykehus",2013-10-27 18:57:11,"394538281943052289"
"Politiet i Bergen har hatt fartskontroll på RV 555. 12 stk har fått forelegg. Høgste fart var 112 km/t i 80 sona.",2013-10-27 17:15:30,"394512694633857024"
"Den bortatte Volvo 740- som var meldt om tidlegare er funnen av ein observant twitterfølgjar. Eigaren og politi på veg til bilen no.",2013-10-27 16:28:24,"394500840415039488"
"Askøybrua/bysida:Meldt om 2 hundar som går laus også her. Uvisst om det har samanheng med den to fuglehundane på Storavatnet.",2013-10-27 16:22:49,"394499434249482240"
"Alvøskogen/Storavatnet: 2 fuglehundar går laus. Fleire meldingar. Politiet minnar om at det er båndtvang. Vi rykkjer ikkje ut på slikt",2013-10-27 16:21:51,"394499193857138688"
"Ytre Arna-Sætrefjellet: Meldt om farleg parkering av mange bilar i området. Parkeringsetaten varsla. Dei vil sjå på saka",2013-10-27 16:20:51,"394498941838176256"
"Kjevikdalen. Fører av biln blir kjørt Haukeland sykehus, for sjekk.  Ikke mistanke om promille",2013-10-27 15:34:05,"394487169676357632"
"Øvre Kråkenes: Rumensk roseselgjar skapar uhygge i området. Dei eldre tykkjer dei MÅ kjøpa roser. Politiet er på veg til staden",2013-10-27 15:33:07,"394486926956589056"
"Flaktveit: Tjuveri av 88 modell Volvo 740 Turbo,blå med kjt: DF47516. Oppdaga då meldar kom heim frå ferie. Tips til 02800.",2013-10-27 15:26:03,"394485151448961024"
"Vågslien Tertnes. Innbrudd i bolig Bl.a. biilnøkler borttatt 2 biler stjålet BS68907 BMW 530 sort og Range Rover Evoque BS 42340",2013-10-27 15:04:40,"394479767778369536"
"Kjevikdalen, Nordhordaland Trafikkulykke Bil gått rundt En mann i bilen Kjørt Legevakt. Taubil på stedet",2013-10-27 14:59:11,"394478386619248640"
"Hamre Osterøy - Politiet er på stedet - dame funnet i sjøen, erklært død, undersøker forholdene, ingen nye opplysninger ang dødsfallet",2013-10-27 11:12:47,"394421412502323202"
"Kl 0819, Klostergaten, innbrudd i to biler. Patruljer leter etter to gjerningsmenn som gikk fra stedet-retn sentrum. Mørke klær, ryggsekk.",2013-10-27 08:07:28,"394374775864193024"
"Fyllingsdalen. Brannen i bosscontainer er slukket",2013-10-27 07:11:40,"394360735435747328"
"Fyllingsdalen: Meldt om brann/røyk fra bosscontainer. Politi og brannvesen på vei.",2013-10-27 06:39:27,"394352626063536128"
"0442 Halhjem: Promillekjører, mann i 30-årene tatt bak rattet.",2013-10-27 05:04:52,"394328821949665280"
"HORDALAND POLITIDISTRIKT: Det er 4 personer i drukkenskapsarrest og 7 i fengslig forvaring etter nattens hendelser.",2013-10-27 05:00:54,"394327825827631104"
"0053 Bybanen: Mann går i Fantofttunnelen.",2013-10-27 03:06:05,"394298930122354688"
"0357 Lille Øvregate: Innbruddsforsøk.",2013-10-27 03:05:19,"394298737373093888"
"0303 Håkonsgaten:  Fire personer slåss og krangler.",2013-10-27 02:07:10,"394284104092368896"
"0221 Akskøybroen/Godvik: Mann, 18 år, mistenkes for promillekjøring.",2013-10-27 02:00:31,"394282430527332352"
"0242 Bybanen Danmarksplass: Kvinne har slått kvinne.",2013-10-27 01:48:49,"394279487480664064"
"0213 Erdal på Askøy: Jente er slått og tatt kvelertak på. Mann blir holdt av andre på stedet.",2013-10-27 01:28:04,"394274266092302336"
"0218 Kong Oscars gate: Knuste ruter og slåssing.",2013-10-27 01:25:48,"394273694349934592"
"0223 Olav Kyrres gate: Mann med kniv truet med å stikke forbipasserende. Han ble pågrepet etter få minutter og kjørt inn til politihuset.",2013-10-27 00:51:30,"394265063554437120"
"0208 Byparken. To menn ble pågrepet. Den ene hadde truet en vekter med skrujern. Begge ble satt i fengslig forvaring.",2013-10-27 00:49:26,"394264542277951489"
"0200 Lagunen. Beruset person nekter å gå av Bybanen.",2013-10-27 00:18:02,"394256637751328768"
"0215 Vågen pub: Person har slått til vakten.",2013-10-27 00:16:47,"394256326546567168"
"0151 Nygårdsparken:  Ambulanse anmoder om assistanse grunnet mye folk på stedet.",2013-10-27 00:15:53,"394256097977970688"
"0132 Janaveien:  Klage på fest i partytelt med 40-50 ungdommer.",2013-10-27 00:14:21,"394255712370454528"
"0200 Manger: Mann stakk fra drosjeregning på 1500.-.",2013-10-27 00:03:00,"394252857521610752"
"0200 Zachariasbryggen: Meldt om mann som har hoppet i sjøen.",2013-10-27 00:02:03,"394252617661968384"
"0123 Metro, nedre Ole Bulls plass: Vaktene har problemer med en mann.",2013-10-26 23:54:36,"394250743227494400"
"0057 Helgheim i Uskedalen: Slåssing.",2013-10-26 23:53:40,"394250507083976704"
"0127 Håkonsgaten: legemsfornærmelse.",2013-10-26 23:52:16,"394250157337747456"
"0058 Lonevåg: Legemsfornærmelse.",2013-10-26 23:51:42,"394250012089012224"
"0122 Løvstakktunnelen: Kjøring uten gyldig førerkort.",2013-10-26 23:23:29,"394242910817759233"
"0021 Nedre Ole Bulls plass: Drosjene klager over mye pirattaxikjøring.",2013-10-26 23:04:47,"394238207258161152"
"0050 Fjøsangerveien:  Mann har veltet motorsykler og knust ruter.",2013-10-26 22:54:03,"394235503928569856"
"0043 Ibsensgate: Tide buss fikk knust frontruten.",2013-10-26 22:52:41,"394235160280842240"
"0041 Fotballpuben: Østeuropeisk mann på stedet mistenkes for tyveri av mobiltelefoner.",2013-10-26 22:51:39,"394234898778570752"
"0028 Rollandslia: Klager fra naboer om fest på stedet.",2013-10-26 22:50:22,"394234576039460864"
"0028 Ovenpå pub: Overstadig beruset gjest.",2013-10-26 22:49:26,"394234344165761024"
"0014 Kvernhusveien: Berusede ungdommer prøver å starte bil.",2013-10-26 22:48:11,"394234026610794496"
"0003 Bergen Lufthavn. Tollvesenet stoppet mann med hasjisj. Han innbringes til politihuset.",2013-10-26 22:47:24,"394233832540364800"
"0045 Bergen Legevakt: Alarmen var utløst, men alt var ok.",2013-10-26 22:46:11,"394233525546668032"
"0010 5454 Sæbøvik: Promillekjører tatt.",2013-10-26 22:44:46,"394233169743847424"
"0011 Bjørndalsskogen. Politiet har avsluttet fest hvor brannslukningsapparat er utløst.",2013-10-26 22:43:48,"394232924192534528"
"0036 Nylandsveien: Mann forsøker å bryte seg inn i biler.",2013-10-26 22:42:33,"394232609837813760"
"0037 Nygårdsparken: En mann er fratatt sin lommebok på stedet.",2013-10-26 22:41:31,"394232349786783744"
"Fra trafikkulykken kjøres en passasjer til legevakten med kutt i hodet. Løvstakktunnelen er åpen for alminnelig ferdsel.",2013-10-26 21:35:44,"394215796064272384"
"Løvstakktunnelen; Bil kjørte i tunnelmunningen i retning fra Puddefjordsbroen mot vest. Det er ikke meldt om personskade. Taubil rekvirert.",2013-10-26 21:11:56,"394209806208098304"
"Bjørnsonsgate.  Mannen ikke funnet.  Betjening har ikke sett mannen, som skal ha oppført seg hissig utenfor butikken.",2013-10-26 19:54:10,"394190235564638208"
"Bjørnsonsgate: Rabiat mann ved Kiwibutikken, politiet på vei til stedet.",2013-10-26 19:45:16,"394187995105861633"
"Rottweilertispe oppsøkt politivakten i sentrum, uten halsbånd og med melkespreng. Hunden har åpenbart valper. Noen som savner denne?",2013-10-26 19:38:27,"394186282139918336"
"Nedre Hamburgersmauet: brann slukket, mindre skader og ingen personskade. Politiet oppretter sak på forholdet.",2013-10-26 19:01:24,"394176957849403392"
"Nedre Hamburgersmauet: meldt om røykutvikling fra vaskemaskin, nødetatene på vei til stedet.",2013-10-26 18:46:20,"394173166425108480"
"Nordre Skogveien: To personer pågrepet. Den eine er meld sakna frå institusjon. Begge vert satt i arresten",2013-10-26 15:58:24,"394130904761004032"
"Nordre Skogveien 62: To personar gjer innbrot. Politi på staden",2013-10-26 15:43:22,"394127120844464128"
"Bjørnsons gate 7: Forsøk på innbrot i Spar butikken.. Mann med brekkjern observert. Politiet på staden",2013-10-26 15:19:18,"394121063954919424"
"Vestlundvegen/Fyllingsdalen: Oljesøl ved nr 53. Glatt veg i regnver. VTS varsla.",2013-10-26 15:17:11,"394120531035037696"
"Fanafjellet-retning Os: Glatte parti på vegen mot Os, grunna tidlegare trafikkuhell på same stad. VTS varsla og strøbil på veg til staden",2013-10-26 14:38:08,"394110701792661504"
"Olav Kyrresgate:  Ingen bussar på staden no.",2013-10-26 14:24:37,"394107302284124160"
"Olav Kyrresgate: Meldt om krangling mellom to flybussførarar. Vegen er sperra av bussar. Politi på veg til staden.",2013-10-26 14:00:10,"394101149437292544"
"Steinrusten: Alle bil bilen er køyrd til Haukeland for sjekk. Ein person ved smerter i hovudet og ein fot. To passasjerer er uskadd.",2013-10-26 13:58:50,"394100812169117696"
"Steinrusten. Kvinne og to barn i biler. Sier seg uskadet.",2013-10-26 13:43:14,"394096885213835265"
"Steinrusten Askøy. Trafikkulykke. Bil på taket. Nødetater på vei",2013-10-26 13:28:43,"394093232109268992"
"0400 Olav Kyrresgate: En mann ble fraranet gjenstander.",2013-10-26 02:17:28,"393924306230456321"
"0217 Puddefjordsbroen. Påkjørsel bakfra. To biler inntaues.",2013-10-26 00:50:18,"393902371656314882"
"Løvstakktunnelen. Kvinnelig bilfører fikk førerkortet beslaglagt etter å ha kjørt i 86 km/t i 60 sone i tunnelen.",2013-10-25 19:48:34,"393826438937202688"
"Politiet foretar åstedsundersøkelse etter innbrudd i Åsane senter, stj bl.a mob tlf til betydelig verdi.",2013-10-25 08:10:49,"393650842428903424"
"Jondal: Ulmebrann som er slukket. Patr oppretter sak. Uvisst årsak.",2013-10-25 07:39:44,"393643020202942464"
"Meldt fra brv om mulig brann i et bolighus i Jondal. Eier er på stedet og kjenner røykelukt og ser at vindu er sotet.",2013-10-25 07:21:04,"393638322301460480"
"Nygårdsmyren, mannen vurdert for drukkenskapsarrest og anmeldt for forholdet.",2013-10-25 03:52:02,"393585720058589185"
"Nygårdsmyren, politiet brukte pepperspray for å få kontroll på en 20 år gammel mann som utøvde skadeverk på et hus.",2013-10-25 03:50:01,"393585212627501056"
"Torget, en kjenning av politiet forvillet seg ut på et tak. Kom trygt ned og ble bortvist fra Bergen sentrum",2013-10-25 00:30:16,"393534940538609664"
"Flesland, Den nederlandske mannen er satt i varetekt og politiet oppretter sak.",2013-10-24 23:22:08,"393517796396519424"
"Flesland, Nederlansk statsborger, mann i 40-årene, pågrepet torsdag kveld av tollvesenet i besittelse av 16,5 kg khat.",2013-10-24 23:21:24,"393517611851325440"
"Lepsøykrysset, Os. Bil i fjellveggen. Politi og ambulanse på stedet. Ukjent skadeomfang, fører blir tatt med av amb. for sjekk.",2013-10-24 16:03:39,"393407448251256832"
"FV572. Rettelse. Steinraset har gått ved Torgilsberget mellom Bruravik og Ulvik. Er allerede ryddet. Trafikken går som normalt.",2013-10-24 12:38:40,"393355860992204800"
