"text","created","id"
"1215, Madlaveien. Trafikkontroll. 8 forelegg for bruk av mobiltelefon, 1 gebyr for manglende bilbelte.",2013-10-30 11:19:03,"395510153098698753"
"0911,Møllebukta. Trafikkuhell, bil/syklist. Sistnevnte til legevakt for sjekk. Ingen personskade.",2013-10-30 11:17:39,"395509802832392192"
"Ingen begivenheter i Rog pd i natt.",2013-10-30 05:00:05,"395414782716542976"
"1819 Sandnes V/Maxi 17åring PÅKJØRT IGANGFELT. Mistenkte, 25 år hadde ikke sett vedk.  Førerkort beslaglagt. Sak opprettet",2013-10-29 18:09:32,"395251068356947968"
"1633 Sandnes Maxi UHELL GJ VINDU Bil parkert utenfor. Fører inne å handlet. Mente den stod i gir.  Var ett barn., 8 år i bilen Uvisst derfra",2013-10-29 16:42:49,"395229245795864577"
"Kollisjon mellom lastebil og pers.bil Madlaveien ved Siddishallen, fører av personbil klaget på smerter i nakke,blir kontr. av amb.",2013-10-29 10:52:52,"395141176124116992"
"Alle aktuelle steder på Hommersåk gjennomsøkt, ingen nye meld. Teori er jeger på veg hjem fra ande/gåsejakt, politiet avslutter nå aksjonen",2013-10-29 08:01:19,"395098004320813056"
"Kl.0730 kollisjon mellom to biler på Østhusvik, fører av den ene bilen bragt til SUS, ukjent skadeomfang.  Ikke trafikale probl.",2013-10-29 07:49:55,"395095136989741057"
"Ikke noe nytt om aksjon Hommersåk, politiet har grunn til å anta at det er en jeger som er observert",2013-10-29 07:31:39,"395090538132541440"
"Melding person med kamu.klær og rifle gående i Maudlandsveien Hommersåk, kan være jeger på veg hjem, bevæpnet politiet rykket ut",2013-10-29 07:08:04,"395084603167232001"
"0121. Patr stoppet en bil i Bjaalandsgt, Stvg, hvor fører, mann (21) var påvirket. Tatt prøve på legevakt. Pass, jente (16) overtatt av BV.",2013-10-29 01:17:36,"394996403933442049"
"Fem biler var involvert i kjedekollisjonen på E39. Viking er på vei  for å fjerne en av bilene. Ingen er skadet.",2013-10-28 15:13:00,"394844251982270464"
"Det har vært et trafikkuhell på E39 sør for avkjøringen til Hinna i nordgående felt. Trolig ikke personskade, men noe trafikale problem.",2013-10-28 14:28:49,"394833135264731138"
"13:30 ble mann (55) og kvinne (45) stoppet i Stavanger sentrum etter at narkotikahund markerte på dem. Begge i besittelse av nark og anmeldt",2013-10-28 12:45:05,"394807029602086913"
"07:09 rykket bevæpnede patruljer ut til Tananger etter melding om truende person med kniv.Mann (36) pågrepet uten dramatikk og sak opprettet",2013-10-28 09:58:31,"394765109509111809"
"06:53 ble det meldt at uvedkommende har tatt seg inn i bolig i Austråttbanen i Sandnes. Åstedsundersøkelse foretatt og sak opprettet.",2013-10-28 09:55:52,"394764442941919233"
"06:34 ble det meldt om skadeverk på anleggsmaskiner i Hoveveien i Sandnes. Sak opprettet",2013-10-28 09:54:02,"394763983426551809"
"1920 - Meld. om innbrudd i Kviemarka på Nærbø - sølvtøy, m.m. borttatt. Beboere bortreist. Patrulje på stdt og gjenkj modus, bevis sikret.",2013-10-27 20:19:24,"394558972138516480"
"Fortsatt rolig her hos oss. God søndagskveld til dere!",2013-10-27 18:08:28,"394526021552066560"
"Rolig søndag hos politiet.",2013-10-27 13:03:55,"394449378795982848"
"0508 Sandnes Daleveien Melding fra fornærmet som hadde våknet av at noen hadde vært inne og tatt pc, router og mobiltlf. politi til stedet",2013-10-27 04:33:30,"394320930035363840"
"0240 Egersund sentrum 45-åring stoppet. Mistenkes for PROMILLEKJØRING.  Til legevakten for blodprøve. Sak opprettet",2013-10-27 04:23:53,"394318510022610945"
"0254 Sandnes Ålgårdsveien 22-åring stoppet for kontroll. Mistanke om PROMILLEKJØRING. Legevakt for blodprøve. Sak opprettet",2013-10-27 04:16:36,"394316678042906625"
"0240 Sandnes Vågsgt 26-åring pågrepet for ORDENSFORSTYRRELSE etter å ha slått til en vakt på et utested. Han forsøkte å stikke av. Anmeldt",2013-10-27 04:12:26,"394315626493120512"
